Company Name,ticker,username,password
"Catalent, Inc. ",CTLT,user_CTLT,ZumlUsmQ6680
Celestica Inc. ,CLS,user_CLS,NiisMltw2625
Cementos Pacasmayo S.A.A. ,CPACASC1,user_CPACASC1,xWkITfVq3763
Cenovus Energy Inc. ,CVE,user_CVE,JgQJpWvH5273
Century Aluminum Company ,CENX,user_CENX,SZhhfKqj4809
"Century Communities, Inc. ",CCS,user_CCS,tQhUPFWA7812
"CF Industries Holdings, Inc. ",CF,user_CF,lzmqXPIs3300
ChampionX Corporation ,CHX,user_CHX,PxpkYVAw1555
"Charles River Laboratories International, Inc. ",CRL,user_CRL,OCERyJCv5085
Chevron Corporation ,CVX,user_CVX,sPwLrsxA7360
China Petroleum & Chemical Corporation ,386,user_386,cqTBuuDs5235
"Chunghwa Telecom Co., Ltd. ",2412,user_2412,gxBJDLdo4609
"Church & Dwight Co., Inc. ",CHD,user_CHD,uhHPnZvS4210
Ciena Corporation ,CIEN,user_CIEN,qQmfyjnL7185
Cintas Corporation ,CTAS,user_CTAS,uKVtEELU6542
"Cisco Systems, Inc. ",CSCO,user_CSCO,sRUqPdUT5024
"Coca-Cola FEMSA, S.A.B. de C.V. ",KOF,user_KOF,eRvTgmaN5987
"Coeur Mining, Inc. ",CDE,user_CDE,kRpkVAaq6812
"Coherent, Inc. ",COHR,user_COHR,tzkCjUpv5245
"Cohu, Inc. ",COHU,user_COHU,VDGUUtzP6809
Colfax Corporation ,CFX,user_CFX,SgbesfeI5776
Columbus McKinnon Corporation ,CMCO,user_CMCO,vGJhMSpD1386
Commercial Metals Company ,CMC,user_CMC,xhffoBKR4974
"Community Health Systems, Inc. ",CYH,user_CYH,iFckMcpj7698
Compañía Cervecerías Unidas S.A. ,CCU,user_CCU,vyTdWvov4885
ConocoPhillips ,COP,user_COP,WDYXNZbW7835
"Constellation Brands, Inc. ",STZ,user_STZ,TUCjjeaS8092
Constellium SE ,CSTM,user_CSTM,yLiirdYr0920
Corning Incorporated ,GLW,user_GLW,tQMisDSE8520
"Corsair Gaming, Inc. ",CRSR,user_CRSR,gkIHaNEQ6867
"Corteva, Inc. ",CTVA,user_CTVA,cUUVxlEZ5218
Costco Wholesale Corporation ,COST,user_COST,PGEDzBMD0448
Crane Co. ,CR,user_CR,rQfLUmAC0154
CRH plc ,CRG,user_CRG,YhXmPThk7746
Cummins Inc. ,CMI,user_CMI,vksGUcBR9777
"D.R. Horton, Inc. ",DHI,user_DHI,vYejsdZz4098
Danaher Corporation ,DHR,user_DHR,stmtfYQv7043
Darling Ingredients Inc. ,DAR,user_DAR,LeEPDDNA1601
DENTSPLY SIRONA Inc. ,XRAY,user_XRAY,EWlzGxSv8059
"Diebold Nixdorf, Incorporated ",DBD,user_DBD,LjoHqxDG1747
"Dillard's, Inc. ",DDS,user_DDS,XhUcQcYY2586
Dole plc ,DOLE,user_DOLE,GrhTlbEf9048
Dover Corporation ,DOV,user_DOV,UodzAnlk8445
"DuPont de Nemours, Inc. ",DD,user_DD,RkxWTgUT1316
E. I. du Pont de Nemours and Company,,user_,HUJFgIzn3549
Eagle Materials Inc. ,EXP,user_EXP,WwfiUxQf6795
Eastman Chemical Company ,EMN,user_EMN,wJOWcmxs1706
Eastman Kodak Company ,KODK,user_KODK,NfyXSPck7275
Eaton Corporation plc ,ETN,user_ETN,UmjIyKKC7920
Ecopetrol S.A. ,ECOPETROL,user_ECOPETROL,VdxzNIaW2172
Edgewell Personal Care Company ,EPC,user_EPC,EMZLbKsC6153
Edwards Lifesciences Corporation ,EW,user_EW,fNJDUpWo1419
Elanco Animal Health Incorporated ,ELAN,user_ELAN,jDRHfaPQ3174
Eldorado Gold Corporation ,ELD,user_ELD,PJKALuGz5630
Element Solutions Inc ,ESI,user_ESI,WmjRFxCt4165
Emergent BioSolutions Inc. ,EBS,user_EBS,jsyCWjNY0595
Emerson Electric Co. ,EMR,user_EMR,SLlFCDOv7697
Endo International plc ,ENDP,user_ENDP,AiCwSggg2712
Enel Américas S.A. ,ENELAM,user_ENELAM,jFIZDUrA5511
EnerSys ,ENS,user_ENS,snmUXaBi8044
Eni S.p.A. ,ENI,user_ENI,yDFVRfoc2020
"EnPro Industries, Inc. ",NPO,user_NPO,uorGJFUW6697
"Entegris, Inc. ",ENTG,user_ENTG,lwghlHOF5039
"EOG Resources, Inc. ",EOG,user_EOG,nFlwucXi4819
Exxon Mobil Corporation ,XOM,user_XOM,YudBKGeN0443
Ferguson plc ,FERG,user_FERG,vDsIpaWP7230
"FirstCash Holdings, Inc ",FCFS,user_FCFS,gjMOrazy8502
"Fiserv, Inc. ",FISV,user_FISV,sqygMJWi2463
"Five Point Holdings, LLC ",FPH,user_FPH,aTxyaRxA9448
"Flowers Foods, Inc. ",FLO,user_FLO,wiVyQLvF3628
"Fomento Económico Mexicano, S.A.B. de C.V. ",FEMSA UBD,user_FEMSA UBD,QKVjiCel5290
"Fortinet, Inc. ",FTNT,user_FTNT,cqKBLgAV9836
Fortive Corporation ,FTV,user_FTV,kxveKiqH6470
"Fortune Brands Home & Security, Inc. ",FBHS,user_FBHS,FLIvYyqL0411
"Forum Energy Technologies, Inc. ",FET,user_FET,DzbyHXyN3103
Freeport-McMoRan Inc. ,FCX,user_FCX,lHjMBMBN2418
Fresenius Medical Care AG & Co. KGaA ,FME,user_FME,LnXCipJH7414
"G-III Apparel Group, Ltd. ",GIII,user_GIII,gcHvdhyM6558
Garrett Motion Inc. ,GTX,user_GTX,gcKJZcOX7355
General Dynamics Corporation ,GD,user_GD,XKACkxZM9607
Gerdau S.A. ,GGBR4,user_GGBR4,wLtNHeea9351
Glatfelter Corporation ,GLT,user_GLT,rXEljlxN8673
Gold Fields Limited ,GFI,user_GFI,XRatNMLL3609
GrafTech International Ltd. ,EAF,user_EAF,tfuairPH3805
Graham Holdings Company ,GHC,user_GHC,iCPAnUEy1636
Herbalife Nutrition Ltd. ,HLF,user_HLF,qrNUOykX8844
Hewlett Packard Enterprise Company ,HPE,user_HPE,gbsEOxKq4860
Hexcel Corporation ,HXL,user_HXL,eGRgSBrM3145
HollyFrontier Corporation ,HFC,user_HFC,GaCRYBlQ9509
"Hologic, Inc. ",HOLX,user_HOLX,bomJxXxr4713
"Honda Motor Co., Ltd. ",7267,user_7267,XjBHMVuz1813
Horizon Therapeutics Public Limited Company ,HZNP,user_HZNP,hxbbbubZ7752
Hormel Foods Corporation ,HRL,user_HRL,setzVIpq1816
HP Inc. ,HPQ,user_HPQ,VEQnNZUh8821
Hubbell Incorporated ,HUBB,user_HUBB,nPlDagUR4582
Hudbay Minerals Inc. ,HBM,user_HBM,dvEwikGd1780
"Huntington Ingalls Industries, Inc. ",HII,user_HII,SvmsqVao5609
Huntsman Corporation ,HUN,user_HUN,pnGEkIol7713
"Hyster-Yale Materials Handling, Inc. ",HY,user_HY,EDETfjRc2412
IAMGOLD Corporation ,IMG,user_IMG,MfuPibZW8327
Icahn Enterprises L.P. ,IEP,user_IEP,buKAOqRK6163
ICL Group Ltd ,ICL,user_ICL,VGUBeKBq3805
"ICU Medical, Inc. ",ICUI,user_ICUI,gLMTUIMt1411
IDEX Corporation ,IEX,user_IEX,cJkuJDaz2180
II-VI Incorporated ,IIVI,user_IIVI,LyNeMuzv5827
"Illumina, Inc. ",ILMN,user_ILMN,kOiCrMzv0360
Imperial Oil Limited ,IMO,user_IMO,uVonKkAn7425
Ingersoll Rand Inc. ,IR,user_IR,cNYfWXig2335
"Ingles Markets, Incorporated ",IMKT.A,user_IMKT.A,whxVUPNr4698
Ingredion Incorporated ,INGR,user_INGR,XYIydcdv2524
Integer Holdings Corporation ,ITGR,user_ITGR,BgohNota3165
Intel Corporation ,INTC,user_INTC,bwNiVDPH9158
International Flavors & Fragrances Inc. ,IFF,user_IFF,VVJOnIKC7427
ITT Inc. ,ITT,user_ITT,SVajbUGs2928
"JD.com, Inc. ",JD,user_JD,XfydJQRO1730
Johnson & Johnson ,JNJ,user_JNJ,RqXULnqt8187
Johnson Controls International plc ,JCI,user_JCI,aaNOeYpi7671
"Juniper Networks, Inc. ",JNPR,user_JNPR,ccPCdkKI7035
Kaman Corporation ,KAMN,user_KAMN,xEYwToqL7823
KB Home ,KBH,user_KBH,QwuLFXxJ6343
Kennametal Inc. ,KMT,user_KMT,UKTmNVQY3612
Keurig Dr Pepper Inc. ,KDP,user_KDP,vYAjhHJK5138
KeyCorp ,KEY,user_KEY,qzITTrVC1441
"Keysight Technologies, Inc. ",KEYS,user_KEYS,oAejroyN4905
Kinross Gold Corporation ,K,user_K,mRHsnKHT8815
Kirby Corporation ,KEX,user_KEX,InuAiEMx2849
Koninklijke Philips N.V. ,PHIA,user_PHIA,ZRQfjGbB9066
"Kronos Worldwide, Inc. ",KRO,user_KRO,aFSowhUa4390
KT Corporation ,A030200,user_A030200,zKbZrXGW1204
"L3Harris Technologies, Inc. ",LHX,user_LHX,ZEpOYNbK9069
Laboratory Corporation of America Holdings ,LH,user_LH,TjCqmLqp6820
Lam Research Corporation ,LRCX,user_LRCX,WyTxSpjE6595
"Lannett Company, Inc. ",LCI,user_LCI,SnqFfWTo9514
Lear Corporation ,LEA,user_LEA,eDEiYCYH1912
Lennar Corporation ,LEN,user_LEN,DqULySJB0206
Lennox International Inc. ,LII,user_LII,zfxhPouc1194
"LGI Homes, Inc. ",LGIH,user_LGIH,NRrMNMTZ8710
Linde plc ,LIN,user_LIN,OCMpKywm7394
LKQ Corporation ,LKQ,user_LKQ,izlPRgOb2674
Louisiana-Pacific Corporation ,LPX,user_LPX,MsDQhcwk1637
Loyalty Ventures Inc. ,LYLT,user_LYLT,MjddQZZL5448
Lumentum Holdings Inc. ,LITE,user_LITE,KaTpqXQz4483
"M.D.C. Holdings, Inc. ",MDC,user_MDC,XnsSWJrB9740
"M/I Homes, Inc. ",MHO,user_MHO,CVcGMDTf6584
Magna International Inc. ,MG,user_MG,UjoKOTMw4953
"Martin Marietta Materials, Inc. ",MLM,user_MLM,ZhhpXHat6121
"Marvell Technology, Inc. ",MRVL,user_MRVL,xHESsFsl7336
"MDU Resources Group, Inc. ",MDU,user_MDU,yYTpjRzP6872
Medtronic plc ,MDT,user_MDT,ildyrFuA6552
Meritage Homes Corporation ,MTH,user_MTH,pfrrnmcr9071
"Micron Technology, Inc. ",MU,user_MU,vrtATMxD6723
Microsoft Corporation ,MSFT,user_MSFT,NFNYcNtd9369
"MillerKnoll, Inc. ",MLKN,user_MLKN,MFBTSGxV6631
Minerals Technologies Inc. ,MTX,user_MTX,byMfmxPW2784
"Mirion Technologies, Inc. ",MIR,user_MIR,ouIABQOy7914
"MKS Instruments, Inc. ",MKSI,user_MKSI,hZUxVbRj4267
"Mohawk Industries, Inc. ",MHK,user_MHK,XPeIPWhx0451
Molson Coors Beverage Company ,TAP,user_TAP,SgJYKhPZ4273
"Mondelez International, Inc. ",MDLZ,user_MDLZ,KMrbIMlH7562
Moog Inc. ,MOG.A,user_MOG.A,nrebpGJV8521
"Motorola Solutions, Inc. ",MSI,user_MSI,bhWMRvcW8598
"Mueller Water Products, Inc. ",MWA,user_MWA,qPUMtuMi8479
Natura &Co Holding S.A. ,NTCO3,user_NTCO3,deYOEoQl4978
"Neenah, Inc. ",NP,user_NP,hFycACxZ4386
NewMarket Corporation ,NEU,user_NEU,EgzfAkKU0572
Newmont Corporation ,NEM,user_NEM,oLPcSMNz3066
News Corporation ,NWSA,user_NWSA,ouhCCjQM9107
"NIKE, Inc. ",NKE,user_NKE,yprkUInM8624
Nokia Corporation ,NOKIA,user_NOKIA,vIDwhCeB9670
Nomad Foods Limited ,NOMD,user_NOMD,xCMDFjBP4040
Norfolk Southern Corporation ,NSC,user_NSC,rHgrIJQV6969
NOV Inc. ,NOV,user_NOV,LoBVYQFT4370
Novartis AG ,NOVN,user_NOVN,dMfEKtcP2793
Novo Nordisk A/S ,NOVO B,user_NOVO B,jcIBttXF2484
Nucor Corporation ,NUE,user_NUE,juewAdfu9274
Nutrien Ltd. ,NTR,user_NTR,cPnZPVDC3528
nVent Electric plc ,NVT,user_NVT,HEdiuHqZ4461
NVIDIA Corporation ,NVDA,user_NVDA,YAGpBmFc6494
"NVR, Inc. ",NVR,user_NVR,GhczMfHK5952
NXP Semiconductors N.V. ,NXPI,user_NXPI,IeHqpatg2523
OGE Energy Corp. ,OGE,user_OGE,xVuesEqV6029
"ONE Gas, Inc. ",OGS,user_OGS,ogCcFEhq4571
Organon & Co. ,OGN,user_OGN,CESTlIOM2096
Ortho Clinical Diagnostics Holdings plc ,OCDX,user_OCDX,rMAKWZji4503
Oshkosh Corporation ,OSK,user_OSK,KTcFlURj2361
Otis Worldwide Corporation ,OTIS,user_OTIS,fsbgmCVu0530
Owens Corning ,OC,user_OC,xkcUlCzE7393
Packaging Corporation of America ,PKG,user_PKG,UpDpRDlm7894
Pampa Energía S.A. ,PAMP,user_PAMP,oiULrpWN1742
Parker-Hannifin Corporation ,PH,user_PH,nWElMLXn9251
Pembina Pipeline Corporation ,PPL,user_PPL,OWPUMies4380
Pentair plc ,PNR,user_PNR,fmwnSxxn1161
"PerkinElmer, Inc. ",PKI,user_PKI,QsxdoSOX9074
Perrigo Company plc ,PRGO,user_PRGO,PVVDxxLG2792
Pfizer Inc. ,PFE,user_PFE,ttnBQXPN3113
Philip Morris International Inc. ,PM,user_PM,AvTMDWDo9956
Phillips 66 ,PSX,user_PSX,wJXjdWIr1204
Pilgrim's Pride Corporation ,PPC,user_PPC,IqOqEoiX7935
Pioneer Natural Resources Company ,PXD,user_PXD,hHnuWbPu7208
"Plantronics, Inc. ",POLY,user_POLY,cvHsHDbx7964
POSCO ,A005490,user_A005490,MmdVrMkC8069
"PulteGroup, Inc. ",PHM,user_PHM,yHUgvOSS9844
"Qorvo, Inc. ",QRVO,user_QRVO,lSWvqrDz1186
Quest Diagnostics Incorporated ,DGX,user_DGX,wYWrRVkL1444
R. R. Donnelley & Sons Company ,RRD,user_RRD,smRXNcjV4988
Raytheon Technologies Corporation ,RTX,user_RTX,BxvXsPQM2144
RBC Bearings Incorporated ,ROLL,user_ROLL,CLUyuVNF7239
"Regeneron Pharmaceuticals, Inc. ",REGN,user_REGN,dzhCFlqw2068
Reliance Steel & Aluminum Co. ,RS,user_RS,WJpdqTnZ2522
"Renewable Energy Group, Inc. ",REGI,user_REGI,eQLzpyYa8840
"Resideo Technologies, Inc. ",REZI,user_REZI,cLPBRKUP6742
Resolute Forest Products Inc. ,RFP,user_RFP,ePjKqtdH2664
"Revlon, Inc. ",REV,user_REV,iDKSBcax9919
"Roper Technologies, Inc. ",ROP,user_ROP,KeZpFpwI0543
Royal Dutch Shell plc ,RDSA,user_RDSA,DCWpeJie2016
Sanmina Corporation ,SANM,user_SANM,qkjiSGsy3844
Sanofi ,SAN,user_SAN,vQvdqIlE6939
Sasol Limited ,SOL,user_SOL,sxpcEjig0850
"Schweitzer-Mauduit International, Inc. ",SWM,user_SWM,dJYyfoba7066
Scientific Games Corporation ,SGMS,user_SGMS,tAFDAICa3826
Sempra ,SRE,user_SRE,BWVWEGWR0796
Sibanye Stillwater Limited ,SSW,user_SSW,ZtEjvArL5539
Signet Jewelers Limited ,SIG,user_SIG,byQcdPFT5395
"SiteOne Landscape Supply, Inc. ",SITE,user_SITE,xaVyWPge8567
"SK Telecom Co.,Ltd ",A017670,user_A017670,EtqAgeaO8424
"Skyworks Solutions, Inc. ",SWKS,user_SWKS,eSCtyyoA3853
Smith & Nephew plc ,SN.,user_SN.,hEXWVMrI2408
Snap-on Incorporated ,SNA,user_SNA,NnVMQCcF6618
Sociedad Química y Minera de Chile S.A. ,SQM,user_SQM,rVTilTDx7205
Sony Group Corporation ,6758,user_6758,USTelqba6455
"SPX FLOW, Inc. ",FLOW,user_FLOW,LVwNHWie6197
"Stanley Black & Decker, Inc. ",SWK,user_SWK,ejXRGSlv4856
Starbucks Corporation ,SBUX,user_SBUX,SGsljYXE2124
"Steel Dynamics, Inc. ",STLD,user_STLD,SwYVEIhV1646
Steelcase Inc. ,SCS,user_SCS,TYxQrpSx0044
Stellantis N.V. ,STLA,user_STLA,wvtuliNV4997
STERIS plc ,STE,user_STE,qpxbGTna5849
STMicroelectronics N.V. ,STM,user_STM,jqkYjiAb9975
Suncor Energy Inc. ,SU,user_SU,WWRckCJe7858
SunOpta Inc. ,SOY,user_SOY,PLtJNTGP0647
Sylvamo Corporation ,SLVM,user_SLVM,grJzMVeE5393
Taiwan Semiconductor Manufacturing Company Limited ,2330,user_2330,KfoqVJRH2130
Takeda Pharmaceutical Company Limited ,4502,user_4502,FfWlMVvm3195
Taylor Morrison Home Corporation ,TMHC,user_TMHC,aYLvaaVO4682
TD SYNNEX Corporation ,SNX,user_SNX,hObOKBzd2831
TE Connectivity Ltd. ,TEL,user_TEL,LjJgNgnj7431
Teck Resources Limited ,TECK.B,user_TECK.B,KzdnaHXo3314
Teledyne Technologies Incorporated ,TDY,user_TDY,LDYYFnqO1985
Teleflex Incorporated ,TFX,user_TFX,VWUEDCAr7266
Telefonaktiebolaget LM Ericsson ,ERIC B,user_ERIC B,LXMZHcam4695
"Telephone and Data Systems, Inc. ",TDS,user_TDS,wycYBDBW0404
Tennant Company ,TNC,user_TNC,npMWEQTY2116
"Tesla, Inc. ",TSLA,user_TSLA,rpNWXKWK7784
Texas Instruments Incorporated ,TXN,user_TXN,ZEwnIxlZ8701
Textron Inc. ,TXT,user_TXT,nANNTnWR0241
The Boeing Company ,BA,user_BA,fYZoHHFe1996
"The Greenbrier Companies, Inc. ",GBX,user_GBX,KcZLDWJX4576
The J. M. Smucker Company ,SJM,user_SJM,rFjGeAEX8477
The Kraft Heinz Company ,KHC,user_KHC,YxIqvXhq5378
"The Manitowoc Company, Inc. ",MTW,user_MTW,ooHbkAwg9599
The Mosaic Company ,MOS,user_MOS,OiyUFUaN7934
The Procter & Gamble Company ,PG,user_PG,oWlOvpan5743
The Timken Company ,TKR,user_TKR,HPJqOwIT8729
The Toro Company ,TTC,user_TTC,KMmkbGUV9527
The Walt Disney Company ,DIS,user_DIS,UCAgmKQB1543
Thermo Fisher Scientific Inc. ,TMO,user_TMO,UjgsCHNV6838
"Thor Industries, Inc. ",THO,user_THO,vTRqGXCG5409
"Toll Brothers, Inc. ",TOL,user_TOL,cwgdcSiZ3787
TopBuild Corp. ,BLD,user_BLD,PatCfVbD4685
TotalEnergies SE ,TTE,user_TTE,HLRiWABF2769
Trane Technologies plc ,TT,user_TT,VLehxZgz9836
Transocean Ltd. ,RIG,user_RIG,WIuroYqn2709
Travel + Leisure Co. ,TNL,user_TNL,SJBTeRvA7625
"Tri Pointe Homes, Inc. ",TPH,user_TPH,wyHYDijP9681
TriMas Corporation ,TRS,user_TRS,GAbQHwSD1199
Trimble Inc. ,TRMB,user_TRMB,TTBWXWrY5501
"Triumph Group, Inc. ",TGI,user_TGI,nFetPsUu4297
"TTM Technologies, Inc. ",TTMI,user_TTMI,DXHLWfAu5769
Tupperware Brands Corporation ,TUP,user_TUP,UZYeHfAX7067
"Tyson Foods, Inc. ",TSN,user_TSN,fZNTQUkB6648
"Ultra Clean Holdings, Inc. ",UCTT,user_UCTT,AdDFnKut3812
United States Cellular Corporation ,USM,user_USM,EefATUDc6994
Universal Corporation ,UVV,user_UVV,dXyhqPyw0669
"Universal Health Services, Inc. ",UHS,user_UHS,YJkDRZnH0927
Vale S.A. ,VALE3,user_VALE3,PnrsjyNT2466
Valero Energy Corporation ,VLO,user_VLO,bqhsIKgS6976
"Valmont Industries, Inc. ",VMI,user_VMI,wrUASYHn3712
Varex Imaging Corporation ,VREX,user_VREX,PSdbOLYh8921
"Viasat, Inc. ",VSAT,user_VSAT,cCWPbIhM6617
Vipshop Holdings Limited ,VIPS,user_VIPS,JGdgMahB9409
"Vishay Intertechnology, Inc. ",VSH,user_VSH,AcQgjaJI6388
Vista Outdoor Inc. ,VSTO,user_VSTO,jfhNNdby3657
Vulcan Materials Company ,VMC,user_VMC,DURLGqup0759
Walmart Inc. ,WMT,user_WMT,pnghWRyW6445
"Warrior Met Coal, Inc. ",HCC,user_HCC,dpCDLpYZ2326
Weber Inc. ,WEBR,user_WEBR,dngPZiFg8414
West Fraser Timber Co. Ltd. ,WFG,user_WFG,KnEPWAvS1349
Western Digital Corporation ,WDC,user_WDC,IhjCszrH9642
Westinghouse Air Brake Technologies Corporation ,WAB,user_WAB,aCqngAEJ8851
Westlake Chemical Corporation ,WLK,user_WLK,DjegqmZC5734
WestRock Company ,WRK,user_WRK,DlqiupHQ8248
Weyerhaeuser Company ,WY,user_WY,gbFQrYLG4475
"Whole Earth Brands, Inc. ",FREE,user_FREE,yBgCKnYy3335
"Winnebago Industries, Inc. ",WGO,user_WGO,NGFtShDA3131
"Worthington Industries, Inc. ",WOR,user_WOR,tXMQEqbU6465
Xerox Holdings Corporation ,XRX,user_XRX,WPdtHXZD7539
Yamana Gold Inc. ,YRI,user_YRI,AOJOGTvA7279
Zebra Technologies Corporation ,ZBRA,user_ZBRA,QORQmKSi8817
"Zimmer Biomet Holdings, Inc. ",ZBH,user_ZBH,clLgjHjq6031
Zurn Water Solutions Corporation ,ZWS,user_ZWS,rhCbAVlr0963
